time,car_id,type,x,y,zone_id,None
3,1,van,1643.5,740,2,-1
3,2,van,1472.5,646,2,-1
3,5,van,1363,739.5,2,-1
3,7,van,2100.5,740.5,2,-1
3,10,van,884,740,2,-1
3,16,van,1889,688.5,2,-1
3,18,van,882,1004,1,-1
3,20,van,1126.5,739,2,-1
3,21,van,1700,633.5,2,-1
3,26,van,1152.5,788.5,2,-1
3,29,van,377,941,1,-1
4,1,van,1636,739,2,-1
4,2,van,1466,645.5,2,-1
4,5,van,1355,740.5,2,-1
4,7,van,2094.5,741,2,-1
4,10,van,876,741,2,-1
4,16,van,1878,689,2,-1
4,18,van,889,1003,1,-1
4,20,van,1118,739,2,-1
4,21,van,1693.5,634.5,2,-1
4,26,van,1145.5,789,2,-1
4,29,van,386.5,940.5,1,-1
5,1,van,1629.5,738.5,2,-1
5,2,van,1460.5,645.5,2,-1
5,5,van,1348,741,2,-1
5,7,van,2088,742.5,2,-1
5,10,van,864,741,2,-1
5,16,van,1869.5,688.5,2,-1
5,18,van,895,1004,1,-1
5,20,van,1108,740.5,2,-1
5,21,van,1688.5,635,2,-1
5,26,van,1135.5,789.5,2,-1
5,29,van,396,942.5,1,-1
6,1,van,1621.5,738.5,2,-1
6,2,van,1456,645.5,2,-1
6,5,van,1340.5,742,2,-1
6,7,van,2082,742.5,2,-1
6,10,van,856,740.5,2,-1
6,16,van,1862.5,688,2,-1
6,18,van,902.5,1005,1,-1
6,20,van,1098,740,2,-1
6,21,van,1683.5,635,2,-1
6,26,van,1127,788.5,2,-1
6,29,van,406.5,942,1,-1
7,1,van,1616,738.5,2,-1
7,2,van,1449.5,646,2,-1
7,5,van,1331,741.5,2,-1
7,7,van,2072.5,741.5,2,-1
7,10,van,849.5,739.5,2,-1
7,16,van,1857,688.5,2,-1
7,18,van,910,1006.5,1,-1
7,20,van,1091.5,738,2,-1
7,21,van,1676,635,2,-1
7,26,van,1121,788.5,2,-1
7,29,van,417,940.5,1,-1
8,1,van,1606.5,738.5,2,-1
8,2,van,1444,646.5,2,-1
8,5,van,1324.5,741,2,-1
8,7,van,2064.5,741.5,2,-1
8,10,van,840,738.5,2,-1
8,16,van,1850.5,688.5,2,-1
8,18,van,918,1007,1,-1
8,20,van,1084.5,738,2,-1
8,21,van,1669,635.5,2,-1
8,26,van,1116,788.5,2,-1
8,29,van,426,940.5,1,-1
9,1,van,1597.5,738.5,2,-1
9,2,van,1436.5,645.5,2,-1
9,5,van,1317,741,2,-1
9,7,van,2058,742,2,-1
9,10,van,832,738,2,-1
9,16,van,1844,690,2,-1
9,18,van,925,1007,1,-1
9,20,van,1077,738.5,2,-1
9,21,van,1663,635.5,2,-1
9,26,van,1105.5,788,2,-1
9,29,van,435.5,940.5,1,-1
10,1,van,1590.5,739.5,2,-1
10,2,van,1429.5,646,2,-1
10,5,van,1309,740,2,-1
10,7,van,2052,741.5,2,-1
10,10,van,824,738,2,-1
10,16,van,1835.5,690,2,-1
10,18,van,931.5,1007.5,1,-1
10,20,van,1068.5,738,2,-1
10,21,van,1657,635,2,-1
10,26,van,1099,787,2,-1
10,29,van,447.5,940.5,1,-1
11,1,van,1584,738,2,-1
11,2,van,1425,645,2,-1
11,5,van,1301.5,739.5,2,-1
11,7,van,2045.5,742,2,-1
11,10,van,817.5,738.5,2,-1
11,16,van,1827.5,689,2,-1
11,18,van,940,1007,1,-1
11,20,van,1060.5,738,2,-1
11,21,van,1651.5,634.5,2,-1
11,26,van,1093,786.5,2,-1
11,29,van,457.5,941,1,-1
12,1,van,1576.5,738,2,-1
12,2,van,1420.5,646,2,-1
12,5,van,1294.5,740,2,-1
12,7,van,2039.5,741.5,2,-1
12,10,van,809,739,2,-1
12,16,van,1822.5,690.5,2,-1
12,18,van,948.5,1007.5,1,-1
12,20,van,1051.5,737,2,-1
12,21,van,1645,635,2,-1
12,26,van,1086.5,786.5,2,-1
12,29,van,468,941.5,1,-1
13,1,van,1567,738.5,2,-1
13,2,van,1414.5,645.5,2,-1
13,5,van,1287.5,740,2,-1
13,7,van,2032,742,2,-1
13,16,van,1817,689.5,2,-1
13,18,van,955.5,1007.5,1,-1
13,20,van,1045,738,2,-1
13,21,van,1639,636.5,2,-1
13,26,van,1081,786,2,-1
13,29,van,479,941,1,-1
14,1,van,1560,738.5,2,-1
14,2,van,1409,645.5,2,-1
14,5,van,1280.5,740,2,-1
14,7,van,2026.5,742.5,2,-1
14,16,van,1811,689.5,2,-1
14,18,van,962.5,1008,1,-1
14,20,van,1038,735.5,2,-1
14,21,van,1632,636.5,2,-1
14,26,van,1070,787,2,-1
14,29,van,488.5,941.5,1,-1
15,1,van,1553.5,739.5,2,-1
15,2,van,1402,646,2,-1
15,5,van,1271,741,2,-1
15,7,van,2021,742,2,-1
15,16,van,1804.5,690,2,-1
15,18,van,969.5,1008,1,-1
15,20,van,1029.5,735.5,2,-1
15,21,van,1624.5,636.5,2,-1
15,26,van,1063,787,2,-1
15,29,van,498,941,1,-1
16,1,van,1546.5,739.5,2,-1
16,2,van,1395.5,646.5,2,-1
16,5,van,1262,741,2,-1
16,7,van,2013,743,2,-1
16,16,van,1798,689,2,-1
16,20,van,1024,735,2,-1
16,21,van,1620,636.5,2,-1
16,26,van,1054,787,2,-1
16,29,van,506,941.5,1,-1
17,1,van,1537.5,740,2,-1
17,2,van,1390,647,2,-1
17,5,van,1256,741.5,2,-1
17,7,van,2005.5,741,2,-1
17,16,van,1792,689,2,-1
17,20,van,1018.5,735.5,2,-1
17,21,van,1614.5,635.5,2,-1
17,26,van,1045.5,786.5,2,-1
17,29,van,517,942.5,1,-1
18,1,van,1530.5,740,2,-1
18,2,van,1385,647,2,-1
18,5,van,1248.5,740.5,2,-1
18,7,van,1998.5,740.5,2,-1
18,16,van,1785,689,2,-1
18,20,van,1009.5,736.5,2,-1
18,21,van,1608,636,2,-1
18,26,van,1033.5,787.5,2,-1
18,29,van,527.5,943.5,1,-1
18,46,van,989.5,1010,1,-1
19,1,van,1523.5,739.5,2,-1
19,2,van,1378,646.5,2,-1
19,5,van,1240.5,740,2,-1
19,7,van,1992.5,741,2,-1
19,16,van,1778.5,689.5,2,-1
19,20,van,999,736.5,2,-1
19,21,van,1602,635.5,2,-1
19,26,van,1027.5,786,2,-1
19,29,van,539.5,943.5,1,-1
20,1,van,1516,740,2,-1
20,2,van,1372.5,646,2,-1
20,5,van,1232.5,740,2,-1
20,7,van,1985,741,2,-1
20,16,van,1770.5,689.5,2,-1
20,20,van,991,736.5,2,-1
20,21,van,1596.5,635,2,-1
20,26,van,1024.5,785,2,-1
20,29,van,549,943,1,-1
21,1,van,1508.5,740,2,-1
21,2,van,1368.5,646,2,-1
21,5,van,1225.5,740.5,2,-1
21,7,van,1977,741,2,-1
21,16,van,1762,689,2,-1
21,20,van,981.5,736.5,2,-1
21,21,van,1589.5,635.5,2,-1
21,26,van,1022.5,784.5,2,-1
21,29,van,558.5,943,1,-1
22,1,van,1500.5,739.5,2,-1
22,2,van,1361.5,647,2,-1
22,5,van,1219,740,2,-1
22,7,van,1971,740.5,2,-1
22,16,van,1757,688.5,2,-1
22,20,van,973.5,736.5,2,-1
22,21,van,1584,635.5,2,-1
22,26,van,1019,785,2,-1
22,29,van,569,944,1,-1
22,48,van,1020.5,1011.5,1,-1
23,1,van,1494,739.5,2,-1
23,2,van,1356.5,647,2,-1
23,5,van,1211.5,739.5,2,-1
23,7,van,1965,743.5,2,-1
23,16,van,1751.5,689,2,-1
23,20,van,965.5,736,2,-1
23,21,van,1578.5,637,2,-1
23,26,van,1007.5,787,2,-1
23,29,van,579.5,944,1,-1
23,48,van,1023.5,1011,1,-1
24,1,van,1487,739.5,2,-1
24,2,van,1350,646.5,2,-1
24,5,van,1201.5,739,2,-1
24,7,van,1959,743.5,2,-1
24,16,van,1745.5,688.5,2,-1
24,20,van,957.5,736,2,-1
24,21,van,1572.5,636.5,2,-1
24,26,van,997,786.5,2,-1
24,29,van,590,943.5,1,-1
25,1,van,1479.5,739.5,2,-1
25,2,van,1344,647,2,-1
25,5,van,1193.5,739,2,-1
25,7,van,1953,744.5,2,-1
25,16,van,1739.5,688.5,2,-1
25,20,van,952,736.5,2,-1
25,21,van,1566.5,637.5,2,-1
25,26,van,989.5,787,2,-1
25,29,van,600,944,1,-1
26,1,van,1471,739,2,-1
26,2,van,1338.5,647,2,-1
26,5,van,1186,739,2,-1
26,7,van,1942,744.5,2,-1
26,16,van,1732,689,2,-1
26,20,van,942.5,736.5,2,-1
26,21,van,1559,638,2,-1
26,26,van,983.5,786,2,-1
26,29,van,611,944.5,1,-1
26,52,van,1046,1013,1,-1
27,1,van,1463.5,740,2,-1
27,2,van,1331.5,646.5,2,-1
27,5,van,1179,738.5,2,-1
27,7,van,1936,744.5,2,-1
27,16,van,1727,688.5,2,-1
27,20,van,933.5,736.5,2,-1
27,21,van,1553.5,639,2,-1
