fps,id,x,y
2,1,759,680
2,2,725,677
2,4,222,578
2,5,177,615
2,6,212,256
2,7,445,183
2,8,320,587
2,9,350,82
2,10,274,623
2,11,741,616
2,12,276,569
2,13,313,631
2,14,344,20
2,15,700,611
2,16,371,37
2,17,806,612
2,18,695,692
2,19,719,623
2,20,874,189
3,1,759,680
3,2,725,677
3,4,222,578
3,5,177,615
3,6,209,256
3,7,446,183
3,8,320,588
3,9,350,83
3,10,274,623
3,11,741,616
3,12,277,568
3,13,313,631
3,14,344,20
3,15,700,611
3,16,371,37
3,17,806,612
3,18,695,692
3,19,718,622
3,20,875,189
4,1,760,680
4,2,725,677
4,4,222,577
4,5,177,615
4,6,205,257
4,7,446,183
4,8,320,588
4,9,350,83
4,10,274,623
4,11,741,616
4,12,279,567
4,13,313,631
4,14,344,20
4,15,700,610
4,16,371,37
4,17,806,612
4,18,696,692
4,19,718,622
4,20,875,189
4,22,847,610
5,1,759,680
5,2,724,677
5,5,177,615
5,6,202,258
5,7,445,183
5,8,321,589
5,9,350,83
5,10,274,623
5,11,741,615
5,12,281,566
5,13,313,631
5,14,345,19
5,15,700,610
5,16,371,37
5,17,806,612
5,18,695,692
5,19,718,622
5,20,875,189
5,22,847,610
6,1,759,679
6,2,725,677
6,5,177,615
6,6,198,259
6,7,445,183
6,8,322,588
6,9,350,83
6,10,274,623
6,11,741,615
6,12,282,566
6,13,313,631
6,14,345,18
6,15,700,610
6,16,371,37
6,17,806,612
6,18,695,693
6,19,718,622
6,22,847,610
7,1,759,679
7,2,725,677
7,5,177,615
7,6,194,259
7,7,445,183
7,8,322,588
7,9,350,83
7,10,274,622
7,11,742,615
7,12,284,564
7,13,313,631
7,14,345,19
7,15,700,610
7,16,371,37
7,17,806,612
7,18,695,693
7,19,718,622
7,22,847,610
8,1,760,679
8,2,725,677
8,5,177,615
8,6,190,260
8,7,445,183
8,8,321,588
8,9,350,82
8,10,274,622
8,11,742,616
8,12,285,562
8,13,313,631
8,14,344,20
8,15,699,610
8,16,371,37
8,17,806,612
8,18,695,693
8,19,718,622
8,22,847,610
8,25,744,660
9,1,760,679
9,2,726,677
9,5,177,615
9,6,187,259
9,7,445,182
9,8,323,590
9,9,350,82
9,10,274,622
9,11,742,616
9,12,287,561
9,13,313,630
9,14,344,20
9,15,699,610
9,16,371,37
9,17,806,612
9,18,695,692
9,19,718,622
9,22,847,610
9,25,744,660
9,26,853,273
10,1,761,679
10,2,726,677
10,5,178,615
10,6,183,260
10,7,445,182
10,8,323,590
10,9,351,82
10,10,273,622
10,11,742,616
10,12,289,560
10,13,312,630
10,14,344,20
10,15,699,610
10,16,371,36
10,17,806,612
10,18,695,692
10,19,718,622
10,22,847,610
10,25,743,660
10,26,852,274
11,1,761,679
11,2,725,677
11,5,178,614
11,6,179,260
11,7,445,183
11,8,324,590
11,9,351,82
11,10,274,622
11,11,741,616
11,12,290,559
11,13,312,630
11,14,344,20
11,15,699,610
11,16,371,36
11,17,806,612
11,18,695,692
11,19,718,622
11,25,743,660
11,26,852,275
12,1,761,678
12,2,725,678
12,5,178,614
12,6,176,261
12,7,445,183
12,8,324,591
12,9,351,82
12,10,274,622
12,11,741,616
12,12,290,558
12,13,312,630
12,14,344,20
12,15,699,610
12,16,371,36
12,17,807,612
12,18,695,692
12,19,718,622
12,25,744,659
12,26,853,276
12,27,328,78
13,1,761,678
13,2,725,678
13,5,178,614
13,6,171,261
13,7,444,183
13,8,327,592
13,9,351,82
13,10,274,622
13,11,741,616
13,12,291,557
13,13,312,630
13,14,344,21
13,15,700,610
13,16,370,36
13,17,807,612
13,18,695,692
13,19,718,622
13,25,744,658
13,26,853,277
13,27,329,78
14,1,761,678
14,2,724,678
14,5,178,614
14,6,168,261
14,7,444,182
14,8,327,592
14,9,351,82
14,10,274,622
14,11,741,616
14,12,292,556
14,13,312,630
14,14,344,20
14,15,700,610
14,16,370,36
14,17,807,611
14,18,695,692
14,19,718,622
14,25,744,658
14,26,853,278
15,1,761,677
15,2,724,677
15,5,178,614
15,6,164,261
15,7,444,183
15,8,327,594
15,10,273,622
15,11,741,616
15,12,292,555
15,13,313,630
15,14,344,20
15,15,700,611
15,16,370,35
15,17,807,611
15,18,695,692
15,19,718,622
15,25,744,657
15,26,853,279
16,1,761,677
16,2,724,677
16,5,178,614
16,6,160,263
16,7,444,183
16,8,328,594
16,10,274,621
16,11,741,616
16,12,293,554
16,13,313,630
16,14,344,20
16,15,700,611
16,16,370,36
16,17,807,611
16,18,695,692
16,19,718,622
16,25,744,657
16,26,853,280
17,1,762,676
17,2,724,677
17,5,178,614
17,6,156,263
17,7,444,183
17,8,328,595
17,10,275,621
17,11,741,615
17,12,294,553
17,13,312,630
17,14,344,20
17,15,700,611
17,16,370,36
17,17,807,612
17,18,694,692
17,19,717,622
17,25,743,656
17,26,853,281
18,1,762,675
18,2,724,677
18,5,178,614
18,6,153,263
18,7,444,182
18,8,328,595
18,10,274,621
18,11,741,615
18,12,295,552
18,13,312,630
18,14,344,20
18,15,700,611
18,16,370,36
18,17,806,612
18,18,694,692
18,19,717,622
18,25,744,656
18,26,854,281
19,1,762,675
19,2,724,677
19,5,177,614
